product_code,period_start_date,period_end_date,actual_consumption,planned_consumption,actual_lead_time_days,actual_supply_rate,notes
NL001,2023-01-01,2023-01-31,132.00,120.00,29,170.00,Tháng Tết
NL001,2023-02-01,2023-02-28,128.00,120.00,31,165.00,
NL001,2023-03-01,2023-03-31,105.00,100.00,28,168.00,
NL001,2023-04-01,2023-04-30,98.00,100.00,30,167.00,
NL001,2023-05-01,2023-05-31,96.00,100.00,27,165.00,
NL001,2023-06-01,2023-06-30,115.00,110.00,32,170.00,Vào hè
NL001,2023-07-01,2023-07-31,118.00,110.00,29,172.00,
NL001,2023-08-01,2023-08-31,120.00,110.00,28,170.00,
NL001,2023-09-01,2023-09-30,102.00,100.00,30,168.00,
NL001,2023-10-01,2023-10-31,88.00,100.00,31,165.00,
NL001,2023-11-01,2023-11-30,85.00,90.00,29,163.00,
NL001,2023-12-01,2023-12-31,98.00,100.00,30,167.00,
