period_start_date,month,quarter,is_tet_holiday,is_summer,is_year_end,working_days,avg_temperature,promotion_flag
2023-01-01,1,1,1,0,0,21,20.5,0
2023-02-01,2,1,1,0,0,17,21.2,0
2023-03-01,3,1,0,0,0,23,24.8,0
2023-04-01,4,2,0,0,0,24,28.3,0
2023-05-01,5,2,0,0,0,25,30.1,1
2023-06-01,6,2,0,1,0,25,32.5,0
2023-07-01,7,3,0,1,0,26,33.2,0
2023-08-01,8,3,0,1,0,26,32.8,0
2023-09-01,9,3,0,0,0,25,31.0,0
2023-10-01,10,4,0,0,0,26,28.5,0
2023-11-01,11,4,0,0,0,25,25.3,1
2023-12-01,12,4,0,0,1,23,22.1,0
2024-01-01,1,1,1,0,0,20,19.8,0
2024-02-01,2,1,1,0,0,19,20.5,0
